"Name","Purpose Statement","Affiliation"
"Students Advocating for Food Equity","To address and take action against food inequity through service, education, and advocacy. SAFE will give students the opportunity to help t...","Columbus, Community Service/Service Learning, Awareness/Activism"
"Students Consulting for Non-Profit Organizations","Students Consulting for Non-Profit Organizations (SCNO) is a national organization of undergraduate students committed to developing communi...","Columbus, Academic/College, Community Service/Service Learning, Special Interest,"
"Students Demand Action at The Ohio State University","Students Demand Action at The Ohio State University is an organization that was born out of the wave of civic engagement among young adults ...","Columbus, Awareness/Activism, Special Interest, Community Service/Service Learning"
"Students for a Democratic Society at The Ohio State University","SDS at Ohio State is a progressive, multi-issue organization of student activists that leads and supports initiatives to win social change. ...","Columbus, Awareness/Activism, Special Interest, Community Service/Service Learning, Governance Organizations"
"Students for Better Schools and Futures","Students for Better Schools & Futures aims to advance student development in the fields of advocacy and education policy, as well as promote...","Columbus, Awareness/Activism, Community Service/Service Learning"
"Students for Bhopal","To educate the OSU community about the Bhopal Gas Tragedy and work with the survivors to get justice.","Columbus, Awareness/Activism"
"Students for Diversity in Education through Service","Students for Diversity in Education through Service (SDES) is committed to providing service and networking opportunities for LGBTQ students...","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest"
"Students for Integrative Medicine","This group exists to promote medical student awareness of complementary and alternative medicine (CAM) beyond what is normally taught in the...","Columbus, Academic/College, Special Interest"
"Students for Justice in Palestine","The Ohio State University Student’s for Justice in Palestine is a democratic student organization, whose main focus is the liberation and se...","Columbus, Awareness/Activism, Ethnic/Cultural, Governance Organizations, Special Interest"
"Students for Life at Ohio State","The mission of Ohio State Students for Life is to promote the dignity of the human person from the moment of conception to natural death, su...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Students for Recycling","It shall be the purpose of Students for Recycling to build a coalition of student organizations to promote recycling, to raise awareness abo...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Students for Salt","Students for Salt is a group of students who work together to help Salt Company reach, serve, and influence Ohio State University. The Salt ...","Columbus, Religious/Spiritual"
"Students for Sustainable Fashion","Sustainable Fashion at The Ohio State University serves as a way for students interested in environmental science and fashion to focus on ed...","Columbus, Special Interest, Awareness/Activism, Creative and Performing Arts,"
"Students for the Advancement of Microbiology","The Students for the Advancement of Microbiology is a student organization whose primary purpose is to promote the advancement of its member...","Columbus, Academic/College, Governance Organizations"
"Students Interested in Student Affairs","The mission and purpose of the Students Interested in Student Affairs (SISA) organization is to support the mission of higher education with...","Columbus, Special Interest, Academic/College"
"Students of the American Academy of Veterinary Nutrition","1. To provide a forum of discussion and exchange of information on matters of common interest as applied to the field of nutrition and its r...","Columbus, Academic/College, Special Interest,"
"Students of the American Veterinary Medical Association","The Students of the American Veterinary Medical Association (SAVMA) represents the American Veterinary Medical Association’s presence on the...","Columbus, Academic/College"
"Students of The Library","To use The OSU community to gather funds, donations, and other things in order to help the Columbus Public Libraries and the community that ...","Columbus, Community Service/Service Learning, Awareness/Activism"
"Students Supporting People with Down Syndrome","Students Supporting People with Down Syndrome strives to heighten awareness, educate students, and advocate on behalf of individuals with Do...","Columbus, Community Service/Service Learning, Awareness/Activism,"
"Students With Children at The Ohio State University","The purpose of Students with Children (SWC) at the Ohio State University is to bring awareness and provide advocacy to the litany of barrier...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest"
"Studio Dance at Ohio State","Studio Dance will offer dance classes multiple days a week, like a dance studio. Members will be able to pick and choose the classes they wo...","Columbus, Creative and Performing Arts, Special Interest, Sports and Recreation,"
"Stylez Dance Group","Stylez Dance Group is a group of students with diverse dance training and experience who seek to push the boundaries of hip-hop by incorpora...","Columbus, Creative and Performing Arts, Special Interest, Sports and Recreation"
"The Sundial Humor Magazine","Our purpose is to bring laughter to The Ohio State University through written comedy and improve the comedy writing skills of our membership...","Columbus, Media, Journalism, and Creative Writing, Creative and Performing Arts, Special Interest"
"Sunny Side Up","Our main message “is that it is okay not to be okay” and we emphasize diversity and how mental health is stigmatized across cultures with a ...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Sunrise Movement at The Ohio State University","The Sunrise movement seeks to spread awareness of climate change issues and how to fix them.  These corrective actions are based on the ideo...","Columbus, Awareness/Activism, Community Service/Service Learning"
"Surgery Interest Group","The main objectives of SIG are to (1) encourage interaction between medical students and the Department of Surgery faculty/staff, (2) provid...","Columbus, Academic/College, Special Interest"
"Surgery Ultrasound Community of Practice","The purpose of the Surgery Ultrasound COP is to foster increased interest in both General Surgery and Ultrasound and as it applies to the fi...","Columbus, Academic/College, Special Interest, Technology"
"Surgical Student Association","The purpose of the Surgical Student Association is: -To arrange meetings with undergraduate students to gain more understanding of pre-healt...","Columbus, Academic/College, Community Service/Service Learning, Honoraries/Honor Societies, Sports and Recreation"
"Survivor: Time & Change","We aim to strategically create, develop, and facilitate a campus-scale, semester-long competition based on the CBS reality television compet...","Columbus, Special Interest, Media, Journalism, and Creative Writing, Sports and Recreation"
"Sustainability in Medicine at The Ohio State University: An Affiliate of Medical Students for a Sustainable Future","Given the growing impact of climate change on human health and the tremendous size of the healthcare industry, Sustainability in Medicine is...","Columbus, Awareness/Activism, Academic/College, Community Service/Service Learning, Special Interest"
"Sustainable Steps","To take active steps towards a greener planet. Doing community service work to aid in Ohio State and the city of Columbus’ efforts to be mor...","Columbus, Special Interest, Awareness/Activism, Technology, Community Service/Service Learning"
"Swing Dance Club","To provide students of The Ohio State University and community members the opportunity to learn, practice, and participate in the art and fu...","Columbus, Creative and Performing Arts, Special Interest, Sports and Recreation"
"Symphonic Band","The overarching goal of this university concert band is to assimilate individual artistic elements into a collective musical expression of o...","Columbus, Academic/College, Creative and Performing Arts"
"Symphonic Pioneers","Symphonic Pioneers aims to provide underprivileged youth with free musical education, unlocking their creative potential and fostering a lif...","Columbus, Community Service/Service Learning, Creative and Performing Arts, Special Interest"
"Tabletop and Roleplaying Gaming Club","The TRG Club seeks to engage young peoplein team building, to creatively cause and solve problems in a safe environment, to provide a safe, ...","Newark, Sports and Recreation"
"Tabletop Gaming Association","The Tabletops and Gaming Association at the Ohio State University (TGA-OSU), is a recreational student organization for those who enjoy Role...","Columbus, Special Interest, Creative and Performing Arts, Media, Journalism, and Creative Writing"
"Taekwondo - Sport Club","The Ohio State University Taekwondo Club strives to give members a holistic martial arts education. We dedicate ourselves to providing an en...","Columbus, Sports and Recreation, Special Interest"
"Taiwanese American Student Association","The purpose of this organization is to provide a means through which Ohio State University students may examine the many facets of the Taiwa...","Columbus, Ethnic/Cultural, Community Service/Service Learning, Special Interest"
"Taiwanese Student Association","Maintaining and improving quality of life and education for Taiwanese students here at the Ohio State University. Promote cultural exchange ...","Columbus, Ethnic/Cultural, Awareness/Activism, Academic/College"
"Taiwanese Undergraduate Networking Association","To facilitate networking opportunities among Taiwanese undergraduate students as well as international students from other countries, and pr...","Columbus, Ethnic/Cultural, Awareness/Activism"
"Talking is Medicine","The group Talking is Medicine (TiM) is meant to promote the broader use of psychotherapy techniques in fields of medicine beyond psychiatry....","Columbus, Academic/College, Awareness/Activism, Special Interest"
"TAMID Group at Ohio State","TAMID at OSU (TAMID) is an organization designed to align the professional aspirations of business-minded students with the Israeli business...","Columbus, Academic/College, Special Interest, Technology"
"Tamil Sangam","Our mission is to unite the Tamil diaspora on campus and facilitate free cultural expression.","Columbus, Ethnic/Cultural, Awareness/Activism, Creative and Performing Arts, Special Interest"
"The Task of the Curator","The Task of the Curator group plans and hosts a variety of arts-related programming including art exhibitions, artist lectures, guest curato...","Columbus, Creative and Performing Arts, Ethnic/Cultural, Special Interest"
"Tau Beta Pi Engineering Honor Society- Ohio Gamma Chapter","Tau Beta Pi is the only engineering honor society representing the entire engineering profession. It is the nation's second-oldest honor soc...","Columbus, Honoraries/Honor Societies, Academic/College, Community Service/Service Learning, Awareness/Activism"
"Tau Beta Sigma National Honorary Band Sorority","Be it known that Tau Beta Sigma, National Honorary Sorority for members of the college band, is an organization operating exclusively in the...","Columbus, Community Service/Service Learning, Creative and Performing Arts, Honoraries/Honor Societies"
"Tau Epsilon Phi","The organization's creed asserts its governing ideals as ""friendship, chivalry, service."" TEP attracts and accepts brothers of all religions...","Columbus, Social Fraternities/Sororities, Religious/Spiritual,"
"Tau Kappa Epsilon Fraternity","Our mission is to aid men in their mental, moral, and social development for life.","Columbus, Social Fraternities/Sororities, Community Service/Service Learning, Sports and Recreation"
"Tea Club","The purpose of Tea Club is to promote the understanding and appreciation of tea, its consumption, its history, and its culture. Tea club ser...","Columbus, Special Interest, Ethnic/Cultural, Religious/Spiritual"
"Team Handball Club - Sport Club","The purpose of this club is to promote and introduce the sport of Team Handball to the student body of The Ohio State University while compe...","Columbus, Sports and Recreation, Community Service/Service Learning"
"TED Discussion Club","To provide OSU students with an outlet for discussing new or interesting topics covered in the TED community and gain new perspectives on th...","Columbus, Special Interest, Academic/College"
"TEDxOhioStateUniversity","To spread the mission and initiative of the International organization, TED, to The Ohio State University. TEDxOhioStateUniversity is an ind...","Columbus, Awareness/Activism, Special Interest"
"Telugu Tamasha","The purpose of this club is to celebrate and promote the rich culture, language, traditions, and heritage of the Telugu-speaking community. ...","Columbus, Ethnic/Cultural, Religious/Spiritual, Special Interest, Sports and Recreation"
"Tennis Club at The Ohio State University - Sport Club","The purpose of Ohio State Club Tennis is to provide a competitive tennis atmosphere while also giving student athletes a positive social out...","Columbus, Sports and Recreation, Special Interest,"
"Texnikoi","Texnikoi has been a distinguished engineering honorary since its founding in 1924. TNK is committed to recognizing engineering students that...","Columbus, Community Service/Service Learning, Academic/College, Honoraries/Honor Societies"
"Thai Student Association","The goals are: 1. To organize social activities among its members and others who are interested in Thai cultures. 2. To advocate its members...","Columbus, Ethnic/Cultural, Religious/Spiritual, Special Interest,"
"Theatre Club","The Mansfield Campus Theatre Club supports the arts on campus and in the Mansfield Community.","Mansfield, Academic/College, Honoraries/Honor Societies"
"Theme Park Engineering Group","The purpose of this Organization is to enhance the technical knowledge gained by members in the classroom through applications in the theme ...","Columbus, Special Interest, Academic/College, Technology"
"Theriogenology Club","The Ohio State University College of Veterinary Medicine's Theriogenology Club is affiliated with the Society for Theriogenology (SFT). The ...","Columbus, Academic/College, Special Interest"
"Theta Chi Fraternity","Theta Chi strives for the highest standards of brotherhood by guaranteeing involvement, philanthropy, community service, and high academic a...","Columbus, Social Fraternities/Sororities"
"Theta Tau Fraternity","The purpose of Theta Tau is to develop and maintain a high standard of professional interest among its members, and to unite them in a stron...","Columbus, Academic/College, Community Service/Service Learning"
"Theta Xi Fraternity Chi Chapter","The Purpose of Theta Xi is to provide a college home environment for its active members in which fellowship and alumni guidance lead to whol...","Columbus, Social Fraternities/Sororities, Academic/College, Community Service/Service Learning,"
"The Thomistic Institute at The Ohio State University","The Thomistic Institute at the Ohio State University aims to foster intellectual and theological discussion on the teachings of the Catholic...","Columbus, Academic/College, Religious/Spiritual"
"Time for Change at The Ohio State University","Time for Change aims to transform The Ohio State University into a model of modern global citizenship by mobilizing the community to activel...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Titonix","Musical Performing Group","Newark, Creative and Performing Arts"
"Toastmasters","We provide a supportive and positive learning experience in which members are empowered to develop communication and leadership skills, resu...","Columbus, Academic/College"
"Torres, Drackett, Lawrence Community Council","The purpose of Torres, Drackett, Lawrence CC is to provide for the social, recreational, informational, educational diversity, wellness and ...","Columbus, Academic/College, Governance Organizations"
"TOSSS (The Ohio Student Service Society)","","Wooster, Special Interest"
"Towers Agricultural Honorary","The purpose of this honorary shall be to further the prestige of and interest in agriculture, serve as a goal for all students and act as a ...","Columbus, Honoraries/Honor Societies"
"Towers Community Council","The purpose of the Towers Community Council is to provide for the social, recreational, informational, educational, diversity, wellness, and...","Columbus, Governance Organizations"
"Trans*Mission","Trans*Mission is a group for transgender and gender non-conforming students and allies. Trans*Mission’s aim is to provide individuals of all...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest,"
"Transracial Adoptees at Ohio State","We aim to bring together an identity-based community of transracial adoptees to carve out a space within the Ohio State University for discu...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest"
"Tri Delta","The purpose of Delta Delta Delta shall be to establish a perpetual bond of friendship among its members, to develop a stronger and more woma...","Columbus, Social Fraternities/Sororities, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Triangle Fraternity","A social fraternity for engineers, scientists, and architecture majors. Dedicated to building better men.","Columbus, Social Fraternities/Sororities, Academic/College, Technology"
"Triathlon Club - Sport Club","The Triathlon Club at The Ohio State University serves multi-sport athletes of all abilities affiliated with The Ohio State University, enab...","Columbus, Sports and Recreation, Special Interest, Academic/College"
"Triota","Triota strives to maintain values central to Women's, Gender, and Sexuality Studies: egalitarianism, inclusiveness and celebration of the di...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Honoraries/Honor Societies"
"True Crime Club at Ohio State","The purpose of this organization shall be to provide an engaging environment for both students and community members to discuss true crime p...","Columbus, Special Interest, Media, Journalism, and Creative Writing,"
"Turf Club","","Wooster, Special Interest"
"Turf Club","To bring Turfgrass management students together to discuss events, networking, the current state of the industry, and provide additional edu...","Columbus, Academic/College, Special Interest"
"Turning Point USA","Turning Point USA members join together to help educate students about the importance of fiscal responsibility, free markets, and limited go...","Columbus, Awareness/Activism, Special Interest"
"Twilight Club","The purpose of our organization is to bring together students who share a love for the Twilight movies and/or books. Students can discuss th...","Columbus, Special Interest, Creative and Performing Arts, Media, Journalism, and Creative Writing"
"Tzu Chi Collegiate Association at Ohio State","To carry out Master Cheng Yen’s teaching of compassion and wisdom from the humanitarian service, philanthropy, bonding and interaction among...","Columbus, Community Service/Service Learning, Awareness/Activism, Religious/Spiritual"
"UFO/UAP Club","The purpose of the UFO/UAP Club at Ohio State is to bring awareness and to explore the unidentified aerial phenomena that occur on our plane...","Columbus, Special Interest"
"UHA Columbus","UHA Columbus is an innovative and progressive organization dedicated to improving universal health through preventive medicine, health educa...","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest"
"UKAN Dance Crew","Our organization provides an opportunity of learning, practice, and built a community to students who interested in hiphop dance. In order t...","Columbus, Creative and Performing Arts, Special Interest, Sports and Recreation, Ethnic/Cultural"
"The Ukrainian Society of The Ohio State University","To provide an opportunity for students to express their Ukrainian heritage and increase awareness of Ukraine.","Columbus, Ethnic/Cultural, Awareness/Activism,"
"Ukulele Club","The Ukulele Club exists in order to further appreciation of the ukulele. We welcome all people will all types of playing experience to come ...","Columbus, Special Interest, Creative and Performing Arts"
"Ultimate Disc - Men's - Sport Club","The Mens Ultimate disc team is commited to introducing and teaching the game of Ultimate Frisbee. It is our main goal to spread the word of ...","Columbus, Sports and Recreation"
"Ultimate Disc - Women's - Sport Club","The purpose of the Women's Ultimate Disc club is to provide a place for women's and non-binary ultimate frisbee players of all levels to pla...","Columbus, Sports and Recreation"
"UltraSound A Cappella at The Ohio State University College of Medicine","The UltraSound Choir exists to provide professional students a fun and relaxed environment to sing together and the opportunities to perform...","Columbus, Creative and Performing Arts, Community Service/Service Learning"
"Ultrasound in Ophthalmology Community of Practice","The Ultrasound in Ophthalmology Community of Practice hopes to unite medical students, residents, fellows, and faculty within a single Commu...","Columbus, Academic/College, Special Interest, Technology"
"Ultrasound Interest Group","USIG is a program designed to build leadership and understanding of ultrasound technology and how to properly use this in the clinical setti...","Columbus, Academic/College, Special Interest"
"Ultrasound Research Interest Group","USRIG is a program designed to facilitate ultrasound research among medical professionals interested in clinician performed ultrasound.","Columbus, Academic/College, Special Interest, Technology"
"Unchained at Ohio State","The purpose of Unchained OSU is to raise awareness of human trafficking by utilizing fashion and other forms of artistic expression. We also...","Columbus, Awareness/Activism, Creative and Performing Arts, Community Service/Service Learning"
"Under the Sea: Marine Biology at Ohio State","Under the S.E.A. wishes to create awareness and interest in marine biology through education, service, and hands-on experience. We focus on ...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Undergraduate Anthropology Club","The Undergraduate Anthropology Club is designed for all students, especially those interested in any aspect of the field of anthropology, to...","Columbus, Academic/College, Ethnic/Cultural, Awareness/Activism, Special Interest"
"Undergraduate Black Law Student Association","The purpose of the Undergraduate Black Law Student Association is to cultivate and foster the needs and interests of the diverse pre-law com...","Columbus, Ethnic/Cultural, Academic/College"
"Undergraduate Business Council","UBC serves as the primary student governing body for undergraduate business majors, and as the umbrella group for Fisher College of Business...","Columbus, Academic/College, Governance Organizations, Community Service/Service Learning"
"Undergraduate Chinese Student Organization","Our organization is a non-political, and non-religious student organization founded in 2004 by Chinese undergraduates from mainland of China...","Columbus, Ethnic/Cultural, Academic/College"
"Undergraduate Economics Society","The Undergraduate Economics Society serves all undergraduate students at The Ohio State University with a direct or indirect interest in eco...","Columbus, Academic/College, Honoraries/Honor Societies, Technology"
"Undergraduate Finance Association","The Undergraduate Finance Association is a student-led organization founded with the mission to provide any student interested in finance th...","Columbus, Academic/College, Special Interest"
"The Undergraduate Genetic Counseling Club","To offer a central place for undergraduate students interested in genetic counseling to learn more about the profession from peers and mento...","Columbus, Academic/College, Special Interest, Community Service/Service Learning"
"Undergraduate Neuroscience Outreach Organization","Undergraduate Neuroscience Outreach Organization (UNOO) is dedicated to benefiting the students of The Ohio State University who share a pas...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Undergraduate Society of Black Leaders","The Undergraduate Society Black Leaders (USBL) empowers and develops Black students through inclusive leadership development, mentorship, ne...","Columbus, Ethnic/Cultural, Awareness/Activism, Community Service/Service Learning, Academic/College"
"Undergraduate Student Government","Wherein students have both the right and the obligation to guide their university, and in the belief that a democratic student government is...","Columbus, Governance Organizations"
"Undergraduate Student Government","The Undergraduate Student Government serves the administration by offering an undergraduate perspective in matters of campus policy, student...","Marion, Governance Organizations"
"UnderLings","The purpose of this organization shall be to promote connections between undergraduate Linguistics majors, minors, and those interested in l...","Columbus, Academic/College, Community Service/Service Learning"
"UndertheDock at The Ohio State University","We are looking to create a community where students can find everyday people with a common love for the outdoors. We are a no pressure, low ...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest, Sports and Recreation"
"Underwater Robotics Team","UWRT is an engineering student project team which designs, manufactures, and programs autonomous underwater vehicles. The team is currently ...","Columbus, Technology, Community Service/Service Learning, Academic/College, Special Interest"
"Unhoused Community Advocacy and Networking","The U-CAN organization aims to utilize community engagement to empower homeless women and children in the Columbus community through collabo...","Columbus, Community Service/Service Learning, Awareness/Activism,"
"UNICEF at Ohio State","UNICEF at Ohio State encourages students to understand the needs and rights of children around the world, and realize that every person can ...","Columbus, Awareness/Activism, Community Service/Service Learning"
"Universities Allied for Essential Medicines","As a non-profit organization rooted in a global movement of university students, UAEM aims to  (1) promote access to medicines and medical i...","Columbus, Awareness/Activism, Special Interest"
"University Ambassadors","University Ambassadors give tours of campus. Please visit http://ambassadors.osu.edu/ for more information.","Columbus"
"University Student Consultants","Cognizant of our responsibility towards the enrichment of The Ohio State University, our organization is steadfast in its commitment to elev...","Columbus, Academic/College, Special Interest"
"University-wide Council of Latinx Organizations","The goal of UCLO is to foster communications among various social, professional, and educational Latino/ Hispanic organizations, advocate fo...","Columbus, Ethnic/Cultural, Special Interest, Governance Organizations"
"Unofficial Women's Basketball Association","The Unofficial Women’s Basketball Association aims to provide a comfortable and judgment-free environment for students to play basketball no...","Columbus, Sports and Recreation, Special Interest"
"Uplift Youth Volunteers","Our mission is to uplift and serve underprivileged children in the Columbus community by providing them with bags which include food, books,...","Columbus, Community Service/Service Learning, Awareness/Activism"
"Urdu Club","The vision of Urdu Club at The Ohio State University shall be to bring recognition to the Urdu language by providing language instruction an...","Columbus, Ethnic/Cultural, Academic/College, Awareness/Activism, Creative and Performing Arts"
"The User Experience Club at The Ohio State University.","The purpose of the UX Club at The Ohio State University is to uplift the UX community here at Ohio State, by teaching design and research as...","Columbus, Technology, Community Service/Service Learning, Academic/College,"
"Valuing Our Identities, Cultivating Empowerment","Our mission is to create a safe and supportive space for counseling students of color, including First Nations, Asian, Black or African Amer...","Columbus, Ethnic/Cultural, Academic/College"
"VAW Global Health Alliances: Ohio State Medical Chapter","VAW Global Health Alliances is global health and development organization that partners with local professionals to develop sustainable and ...","Columbus, Community Service/Service Learning, Awareness/Activism,"
"VAW—Veterinary Outreach OSU","VAW Global is a student run organization that serves to advance interests in the field of veterinary medicine and international volunteer wo...","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest, Ethnic/Cultural"
"Veteran Companion Animal Services","To support the organization VCAS, a 501(c)(3), via fundraising and providing volunteer opportunities for students interested in the cause.","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest"
"Veterinarians as One Inclusive Community for Empowerment","Our club has two main purposes:  1) Expose those already in the profession to other cultures, lifestyles, socioeconomic groups, etc. We inte...","Columbus, Ethnic/Cultural, Community Service/Service Learning, Awareness/Activism"
"Veterinary Anesthesia and Pain Management Club","The Veterinary Anesthesia and Pain Management Club at The Ohio State University College of Veterinary Medicine is intended to provide supple...","Columbus, Academic/College"
"Veterinary Business Management Association","The mission of the VBMA is to accompany and enhance the veterinary curriculum by increasing student awareness and knowledge regarding the to...","Columbus, Academic/College, Special Interest"
"Veterinary Dermatology Club","Dermatological disease is one of the most ubiquitous patient problems and obtaining clinical skills in this field is imperative for any gene...","Columbus, Academic/College, Special Interest"
"Veterinary Jewish Student Association","The purpose of the Veterinary Jewish Association is to provide a safe and inclusive association through which to practice and promote Jewish...","Columbus, Religious/Spiritual, Academic/College, Ethnic/Cultural"
"Veterinary Ophthalmology Club","The primary purpose of this organization is to expose students to ophthalmology earlier in the veterinary curriculum. We achieve this by fre...","Columbus, Academic/College, Special Interest"
"Veterinary Pharmacy Alliance","The missions of the Veterinary Pharmacy Alliance are as follows: 1) Educate each other on each profession's training and abilities as it per...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Veterinary Public Health Club","All veterinarians, from small animal practitioners to government officials will be involve in public health through out their career. Veteri...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Veterinary Radiology Club","The purpose of the Veterinary Radiology Club is to promote and encourage the study of radiology and other diagnostic imaging modalities by e...","Columbus, Academic/College, Special Interest"
"Veterinary Surgery Club","The main purposes of the Veterinary Surgery Club are to further the students’ knowledge in the area of veterinary surgery specialization and...","Columbus, Academic/College, Special Interest"
"VEX U Robotics at The Ohio State University","This organization is a competitive and result-focused VEX U team, intended primarily for those interested in honing their skills in any part...","Columbus, Technology, Special Interest,"
"Victims' Rights Ambassadors","Victims’ Rights Ambassadors is an outreach program that represents the Ohio Crime Victim Justice Center (OCVJC), the only organization in Oh...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Video Essay Club","The Video Essay Club (VEC) aims to provide a safe and open space for any and all students to creatively explore their academic interests thr...","Columbus, Creative and Performing Arts, Media, Journalism, and Creative Writing, Special Interest, Technology"
"Video Game Club","The Video Game Club seeks provide a space for students who enjoy gamin across various types of games and consoles","Newark, Sports and Recreation"
"Vietnamese Student Association","The Vietnamese Student Association at The Ohio State University is a cultural, non-profit organization dedicated to the general development ...","Columbus, Ethnic/Cultural, Special Interest"
"Village Mentors at Ohio State","We empower underprivileged children and communities globally through building impactful, scalable learning hubs sustained with virtual mento...","Columbus, Community Service/Service Learning, Awareness/Activism"
"Vineyard Columbus InterVarsity","We are a “both-and” Christian student org rather than “either or.” We are contemplative and charismatic. We value unity and strive for diver...","Columbus, Religious/Spiritual, Ethnic/Cultural"
"Vinyl Club","Vinyl Club aims to introduce people to the vinyl medium, teach people how to work with vinyl related equipment, form friendships, and to lis...","Columbus, Special Interest"
"Vinyl Record Club","The Vinyl Record Club is a group of students who appreciate the medium of Vinyl Records, teach students how to use a record player, how to c...","Newark, Sports and Recreation"
"Virtual Reality Flight Simulation at The Ohio State University","The purpose of this organization is to create, provide, and maintain the equipment necessary to supplement student flight training with virt...","Columbus, Technology, Academic/College, Special Interest"
"Viva Cultura","The purpose of Viva Cultural is to bring awareness to Hispanic and Latino cultures, educate on issues such as immigration, bring the Newark ...","Newark, Ethnic/Cultural"
"Vocalize","The mission of Vocalize Columbus is to improve patient experience & health outcomes for limited English proficiency individuals by remotely ...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism, Ethnic/Cultural"
"Voice In Sport Ohio State","To build a strong community of women who feel confident in athletic environments. We strive to promote visibility and representation in coll...","Columbus, Sports and Recreation, Awareness/Activism, Community Service/Service Learning"
"Voices of the Black Academy","Voices of the Black Academy is an organization composed of undergraduate, graduate, and professional students with a mission to promote acad...","Columbus, Academic/College, Awareness/Activism"
"Volleyball - Men's - Sport Club","The Men's Volleyball Club at Ohio State provides students of all skill levels with the opportunity to participate in competitive volleyball ...","Columbus, Sports and Recreation"
"Volleyball - Women's - Sport Club","The Sport Club program is designed to serve individual interests in different sports and recreational activities. Participation in the progr...","Columbus, Sports and Recreation"
"Volunteer Income Tax Assistance Program","The purpose of the Volunteer Income Tax Assistance Program is to provide income tax preparation assistance to low income taxpayers.","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism,"
"Voyage","Empower young people with disabilities through mentorship and guide them through important life milestones.","Columbus, Academic/College"
"Waffle House Club at The Ohio State University","Waffle House Club at The Ohio State University is a social club dedicated to creating a sense of community among students that enjoy Waffle ...","Columbus, Special Interest"
"Water Polo - Men's - Sport Club","The Men’s Water Polo Club at Ohio State acts to promote physical and mental well-being for its members by providing an environment of comrad...","Columbus, Sports and Recreation, Community Service/Service Learning,"
"Water Polo - Women's - Sport Club","The purpose of the team will be to provide water polo workouts, competitions, clinics, social functions, education and any other activities ...","Columbus, Sports and Recreation, Community Service/Service Learning, Special Interest,"
"Water Ski Team - Sport Club","The Ohio State University Water Ski Team is an organization for those interested in improving skills and competing in water sports. Everyone...","Columbus, Sports and Recreation"
"Water Symposium Committee","To bring together researchers across The Ohio State University focusing on water in different disciplinaries to foster collaboration.","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Waterski Club","The Waterski Club is composed of recreational skiers of all skill levels. It’s objective is to promote collegiate water skiing and provide i...","Columbus, Sports and Recreation, Special Interest"
"WAVMA at The Ohio State University College of Veterinary Medicine","The Mission of WAVMA-Ohio State is to provide Ohio State-CVM students and other Ohio State students with graduate standing with educational,...","Columbus, Academic/College, Special Interest"
"Wellness Advocacy at Ohio State","Promote and advocate for the Ten Dimensions of Wellness to be a centralized part of the student experience as well as create a space for wel...","Columbus, Awareness/Activism, Community Service/Service Learning, Governance Organizations, Special Interest"
"Western Sahel Student Association","Western Sahel Student Association aims to provide a space where students of Mauritanian, Senegalese, Gambian, Malian, and Guinean descent (W...","Columbus, Ethnic/Cultural, Awareness/Activism"
"Wholesome Activities Club","Bringing together those who enjoy doing simple and fun activities in the presence of like-minded individuals.","Columbus, Special Interest, Community Service/Service Learning, Creative and Performing Arts, Sports and Recreation"
"Wigs for Kids at Ohio State","Wigs for Kids at Ohio State is a student-run collegiate subsection of the non-profit Wigs for Kids. The club/organization’s purpose is to ra...","Columbus, Special Interest, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Wilderness Medicine Interest Group","The Wilderness Medicine Interest Group is dedicated to providing resources to medical students interested in career opportunities related to...","Columbus, Academic/College, Special Interest, Sports and Recreation"
"Women and Gender Minorities in Physics","The purpose of the SWiP is to promote involvement of, career and academic development for, and sense of community among the graduate and und...","Columbus, Academic/College, Awareness/Activism, Special Interest"
"Women Founders at The Ohio State University","To create a lifelong network of support and resources for women founders to develop mutually-beneficial relationships, inspire each other, a...","Columbus, Academic/College, Awareness/Activism, Special Interest"
"Women in Business","To foster a community of students interested in empowering women by encouraging personal and professional growth in supportive environments ...","Columbus, Academic/College, Special Interest"
